SCOPE	NAME	VALUE_DEFAULT_SEMANTICS	PURPOSE	SOURCE
runtime/metal	DS4_METAL_DISABLE_PRE_M5_QKV_PAIR_QUAD_FUSE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pre M5 QKV pair quad fuse.	ds4.c:23053
runtime/metal	DS4_METAL_DISABLE_PRE_M5_ROUTER_SHARED_FUSE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pre M5 router shared fuse.	ds4.c:24770
runtime/metal	DS4_METAL_DISABLE_PRE_M5_ROUTER_SIMD_FINALIZE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pre M5 router simd finalize.	ds4_metal.m:35827
runtime/metal	DS4_METAL_DISABLE_PRE_M5_ROUTER_SIMD_WEIGHTS_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pre M5 router simd weights fusion.	ds4_metal.m:35836
runtime/metal	DS4_METAL_DISABLE_PRE_M5_ROUTER_TRANSFORM_FINALIZE_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pre M5 router transform finalize fusion.	ds4_metal.m:35840
runtime/metal	DS4_METAL_DISABLE_PRO_Q4_EXPERT_ADDRESS_AUTO	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pro Q4 expert address auto.	ds4_metal.m:19710
runtime/metal	DS4_METAL_DISABLE_PRO_Q4_EXPERT_TABLE_AUTO	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pro Q4 expert table auto.	ds4.c:21055
runtime/metal	DS4_METAL_DISABLE_PRO_Q4_EXPERT_TABLE_PRELOAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables pro Q4 expert table preload.	ds4.c:59045
runtime/metal	DS4_METAL_DISABLE_Q4_ATTN_OUT_HC_FUSE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 attn out HC fuse.	ds4_metal.m:47624
runtime/metal	DS4_METAL_DISABLE_Q4_ATTN_OUT_TINY_BATCH	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Disables Q4 attn out tiny batch.	ds4_metal.m:28396
runtime/metal	DS4_METAL_DISABLE_Q4_BATCH_EXPERT_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 batch expert table.	ds4_metal.m:44883
runtime/metal	DS4_METAL_DISABLE_Q4_DENSE_PAIR	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 dense pair.	ds4_metal.m:21990
runtime/metal	DS4_METAL_DISABLE_Q4_EXACT_BOUNDARY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 exact boundary.	ds4_metal.m:42239
runtime/metal	DS4_METAL_DISABLE_Q4_EXACT_TENSOR_ID	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 exact tensor ID.	ds4_metal.m:42219
runtime/metal	DS4_METAL_DISABLE_Q4_EXPERT_ADDRESS_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 expert address table.	ds4_metal.m:19711
runtime/metal	DS4_METAL_DISABLE_Q4_EXPERT_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 expert table.	ds4.c:21056
runtime/metal	DS4_METAL_DISABLE_Q4_GATHER_SLOTS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 gather slots.	ds4_metal.m:42321
runtime/metal	DS4_METAL_DISABLE_Q4_GROUP24_EXPERT_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 group24 expert table.	ds4_metal.m:42201
runtime/metal	DS4_METAL_DISABLE_Q4_GROUP6_EXPERT_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 group6 expert table.	ds4_metal.m:42167
runtime/metal	DS4_METAL_DISABLE_Q4_GROUP8_EXPERT_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 group8 expert table.	ds4_metal.m:42184
runtime/metal	DS4_METAL_DISABLE_Q4_GROUPED_BOUNDARY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 grouped boundary.	ds4_metal.m:42149
runtime/metal	DS4_METAL_DISABLE_Q4_GROUPED_EXPERTS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 grouped experts.	ds4_metal.m:42130
runtime/metal	DS4_METAL_DISABLE_Q4_MV_CLASSIC	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 MV classic.	ds4_metal.m:21571
runtime/metal	DS4_METAL_DISABLE_Q4_QKV_COMPRESSOR_FUSE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 QKV compressor fuse.	ds4_metal.m:22083
runtime/metal	DS4_METAL_DISABLE_Q4_SELECTED_EXPERT_VIEWS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 selected expert views.	ds4.c:21151
runtime/metal	DS4_METAL_DISABLE_Q4_SSD_PREFILL_ATTN_OUT_EXACTN	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Disables Q4 SSD prefill attn out exactn.	ds4_metal.m:28095
runtime/metal	DS4_METAL_DISABLE_Q4_SSD_SESSION_UNION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables Q4 SSD session union.	ds4.c:65443
runtime/metal	DS4_METAL_DISABLE_Q4_STREAM_OVERLAP	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables Q4 stream overlap.	ds4.c:65365
runtime/metal	DS4_METAL_DISABLE_Q4_TABLE_BOUNDARY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q4 table boundary.	ds4_metal.m:42318
runtime/metal	DS4_METAL_DISABLE_Q8_DECODE_EXACT_VIEWS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables Q8 decode exact views.	ds4_metal.m:12851
runtime/metal	DS4_METAL_DISABLE_QKV_NORM_FUSION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables QKV norm fusion.	ds4.c:20450
runtime/metal	DS4_METAL_DISABLE_QKV_PAIR_PROJ	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables QKV pair proj.	ds4.c:20455
runtime/metal	DS4_METAL_DISABLE_QUEUE_RESIDENCY_SET	presence rollback; unset: automatic/default path; any value including 0 disables	Disables queue residency set.	ds4_metal.m:2124
runtime/metal	DS4_METAL_DISABLE_ROUTED_PAIR_SWIGLU_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables routed pair SwiGLU fusion.	ds4.c:18544
runtime/metal	DS4_METAL_DISABLE_ROUTER_SELECT_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables router select fusion.	ds4_metal.m:35816
runtime/metal	DS4_METAL_DISABLE_ROUTER_WEIGHTS_BATCH_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables router weights batch fusion.	ds4_metal.m:36068
runtime/metal	DS4_METAL_DISABLE_SHARED_DOWN_HC_FUSION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Disables shared down HC fusion.	ds4.c:20487
runtime/metal	DS4_METAL_DISABLE_SHARED_GATE_UP_SWIGLU_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables shared gate up SwiGLU fusion.	ds4.c:17582
runtime/metal	DS4_METAL_DISABLE_SHARED_KV_PAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables shared KV pad.	ds4_metal.m:31510
runtime/metal	DS4_METAL_DISABLE_SHARED_ROPE_COEFF	presence rollback; unset: automatic/default path; any value including 0 disables	Disables shared RoPE coeff.	ds4_metal.m:6341
runtime/metal	DS4_METAL_DISABLE_STREAMING_COLD_DECODE_PREFILL	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming cold decode prefill.	ds4.c:32022
runtime/metal	DS4_METAL_DISABLE_STREAMING_COMPACT_ADDR	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming compact address.	ds4_metal.m:14598
runtime/metal	DS4_METAL_DISABLE_STREAMING_DECODE_PREFILL	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming decode prefill.	ds4.c:31971
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_ADDR_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert address table.	ds4.c:18540
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_COMBINED_BUFFER	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert combined buffer.	ds4_metal.m:14023
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_EARLY_LOAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert early load.	ds4_metal.m:17232
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_EVICT_DONTNEED	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert evict dontneed.	ds4_metal.m:14395
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_HIT_VALIDATOR	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert hit validator.	ds4_metal.m:14634
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_HOTLIST	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert hotlist.	ds4.c:21305
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_LIVE_INDEX	value-aware boolean; default off; true disables and dominates ENABLE	Disables dense live-entry index and uses authoritative cache matrix.	ds4_metal.m:15443
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_MASKED_ADDR	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert masked address.	ds4_metal.m:14628
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_READAHEAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert readahead.	ds4_metal.m:13196
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_SLABS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert slabs.	ds4_metal.m:14028
runtime/metal	DS4_METAL_DISABLE_STREAMING_EXPERT_TIMING_SUMMARY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming expert timing summary.	ds4_metal.m:13062
runtime/metal	DS4_METAL_DISABLE_STREAMING_FULL_EXPERT_ADDR_TABLE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming full expert address table.	ds4_metal.m:14716
runtime/metal	DS4_METAL_DISABLE_STREAMING_IQ2_CPU_ROUTER	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming IQ2 CPU router.	ds4.c:20954
runtime/metal	DS4_METAL_DISABLE_STREAMING_LAYER_BATCH	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming layer batch.	ds4.c:18254
runtime/metal	DS4_METAL_DISABLE_STREAMING_MADVISE_WILLNEED	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming madvise willneed.	ds4.c:18227
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_BATCH_SELECTED_ADDR	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill batch selected address.	ds4.c:18538
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_LAYER_MADVISE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill layer madvise.	ds4.c:18481
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_LAYER_PAGEIN	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill layer pagein.	ds4.c:18449
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_LAYER_PAGEIN_OVERLAP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill layer pagein overlap.	ds4.c:19336
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_LAYER_PREAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill layer pread.	ds4.c:18469
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_LAYER_PREPARE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill layer prepare.	ds4.c:18461
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_LAYER_PREPARE_OVERLAP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill layer prepare overlap.	ds4.c:19334
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_LAYER_READAHEAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill layer readahead.	ds4.c:18459
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_SELECTED_ASYNC_LOAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill selected async load.	ds4.c:46685
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_SELECTED_MADVISE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill selected madvise.	ds4.c:18439
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_SELECTED_PAGEIN	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill selected pagein.	ds4.c:18429
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_SELECTED_PROFILE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill selected profile.	ds4.c:18923
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_SELECTED_READAHEAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill selected readahead.	ds4.c:19975
runtime/metal	DS4_METAL_DISABLE_STREAMING_PREFILL_SELECTED_READAHEAD_SHARED	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming prefill selected readahead shared.	ds4.c:19985
runtime/metal	DS4_METAL_DISABLE_STREAMING_READAHEAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming readahead.	ds4.c:18220
runtime/metal	DS4_METAL_DISABLE_STREAMING_SELECTED_ASYNC_EARLY_COMMIT	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming selected async early commit.	ds4.c:21034
runtime/metal	DS4_METAL_DISABLE_STREAMING_SELECTED_ASYNC_LOAD	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming selected async load.	ds4.c:21018
runtime/metal	DS4_METAL_DISABLE_STREAMING_SELECTED_READAHEAD_SHARED_DELAY	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming selected readahead shared delay.	ds4.c:21735
runtime/metal	DS4_METAL_DISABLE_STREAMING_SELECTED_SHARED_OVERLAP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming selected shared overlap.	ds4.c:21010
runtime/metal	DS4_METAL_DISABLE_STREAMING_STATIC_DECODE_MAP	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming static decode map.	ds4.c:18232
runtime/metal	DS4_METAL_DISABLE_STREAMING_STATIC_MAP_STATE_CACHE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables streaming static map state cache.	ds4.c:18245
runtime/metal	DS4_METAL_DISABLE_SUPPORT_Q8_DECODE_EXACT_VIEWS	presence rollback; unset: automatic/default path; any value including 0 disables	Disables support Q8 decode exact views.	ds4_metal.m:12858
runtime/metal	DS4_METAL_DISABLE_TINY_PAIR_SWIGLU_FUSION	presence rollback; unset: automatic/default path; any value including 0 disables	Disables tiny pair SwiGLU fusion.	ds4_metal.m:44920
runtime/metal	DS4_METAL_DISABLE_TOKEN_EMBED_EXACT_VIEW	presence rollback; unset: automatic/default path; any value including 0 disables	Disables token embed exact view.	ds4_metal.m:11907
runtime/metal	DS4_METAL_DISABLE_ZERO_PREFIX_PREFILL_MASK_CACHE	presence rollback; unset: automatic/default path; any value including 0 disables	Disables zero prefix prefill mask cache.	ds4_metal.m:2404
runtime/metal	DS4_METAL_DSPARK_ACCEPTANCE_ONLY_VERIFY	nonempty boolean; unset/empty or exact 0: off; every other value: on	Verifies only the draft rows still needed for acceptance after the base target logit.	ds4.c:52763
runtime/metal	DS4_METAL_DSPARK_DEVICE_PROPOSER	boolean true values enable; false values/unset disable; NO_DEVICE_PROPOSER presence dominates	Keeps DSpark Q8 confidence/Markov proposal work on Metal and reads one compact result.	ds4.c:34899
runtime/metal	DS4_METAL_DSPARK_EXACT2	nonempty boolean; unset/empty or exact 0: off; every other value: on	Enables the resident single-GPU Metal exact-2 verifier.	ds4.c:52554
runtime/metal	DS4_METAL_DSPARK_EXACTN	nonempty boolean; unset/empty or exact 0: off; every other value: on	Enables the single-GPU Metal exact-N verifier.	ds4.c:52575
runtime/metal	DS4_METAL_DSPARK_EXACTN_BATCH_HEAD	nonempty boolean; unset/empty or exact 0: off; every other value: on	Batches the output head across exact-N verifier rows.	ds4.c:37741
runtime/metal	DS4_METAL_DSPARK_EXACTN_UNION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Loads the union of experts for exact-N verifier rows once.	ds4.c:52596
runtime/metal	DS4_METAL_DSPARK_EXACT_ROWS_ASYNC_TAILS	presence control; unset: off/default; any value including 0 enables	Runs exact-row routed tails asynchronously after union routing.	ds4.c:37947
runtime/metal	DS4_METAL_DSPARK_EXACT_ROWS_PROFILE	presence diagnostic; unset: off; any value including 0 enables	Prints timing/profile diagnostics for DSpark exact rows.	ds4.c:37945
runtime/metal	DS4_METAL_DSPARK_HEADLESS_REPLAY	unset/empty: enabled; exact 0 disables; every other nonempty value enables	Skips output heads for accepted intermediate DSpark replay tokens.	ds4.c:52743
runtime/metal	DS4_METAL_DSPARK_NO_DEVICE_PROPOSER	presence rollback; unset: automatic/default path; any value including 0 disables	Dominant presence-based rollback for the Metal DSpark device proposer.	ds4.c:34901
runtime/metal	DS4_METAL_DSPARK_PIN_MAIN_PROJ	nonempty value other than exact 0 enables; unset/empty/0 disables	mlock-pins only DSpark stage-0 main_norm/main_proj in Metal SSD streaming.	ds4.c:39460
runtime/metal	DS4_METAL_DSPARK_PROPOSER_BLOCK_MAX	uint32; unset: automatic cache/verifier cap; 0 or invalid: native width; positive: clamped to DSpark/native maximum	Caps rows proposed by single-device Metal DSpark.	ds4.c:52694
runtime/metal	DS4_METAL_DSPARK_SAFE_EXPERT_COUNT	exact 1 enables; unset or any other value disables	Caps an explicit expert-count cache request to the safe Metal working-set budget for DSpark SSD streaming.	ds4.c:4880
runtime/metal	DS4_METAL_DSV4_HC_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the DeepSeek hidden-context Metal kernel source file loaded at runtime.	ds4_metal.m:4938
runtime/metal	DS4_METAL_DSV4_KV_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the DeepSeek KV Metal kernel source file loaded at runtime.	ds4_metal.m:4940
runtime/metal	DS4_METAL_DSV4_MISC_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the DeepSeek miscellaneous Metal kernel source file loaded at runtime.	ds4_metal.m:4942
runtime/metal	DS4_METAL_DSV4_ROPE_SOURCE	file path; unset/empty: use the in-tree Metal source file	Overrides the DeepSeek RoPE Metal kernel source file loaded at runtime.	ds4_metal.m:4941
runtime/metal	DS4_METAL_DUMP_PREFILL_LOGITS	file path; unset/empty: no dump	Writes final GPU prefill logits as f32 binary.	ds4.c:51608
runtime/metal	DS4_METAL_ENABLE_BATCH_HC_NORM_FUSION	legacy value-aware alias; default enabled; exact 0 disables; unset/empty/every other value enables unless DISABLE is active	Legacy control for the now-default batched HC norm fusion.	ds4.c:20477
runtime/metal	DS4_METAL_ENABLE_COMPRESSOR_EXACT_POOL_RATIO4	presence opt-in; unset: off/automatic; any value including 0 enables	Enables compressor exact pool ratio4.	ds4_metal.m:26385
runtime/metal	DS4_METAL_ENABLE_COMPRESSOR_PAIR_STATE_STORE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables compressor pair state store.	ds4_metal.m:23243
runtime/metal	DS4_METAL_ENABLE_COMPRESSOR_QUAD_STORE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables compressor quad store.	ds4.c:23542
runtime/metal	DS4_METAL_ENABLE_DSPARK_CAPTURE_FUSED_LAST	nonempty boolean; unset/empty or exact 0: off; every other value: on	Enables DSpark capture fused last.	ds4.c:28374
runtime/metal	DS4_METAL_ENABLE_GATHERED_KV_STAGE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables gathered KV stage.	ds4_metal.m:29675
runtime/metal	DS4_METAL_ENABLE_GLM_STREAMING_SELECTED_ASYNC_LOAD	presence opt-in; unset: off/automatic; any value including 0 enables	Enables GLM streaming selected async load.	ds4.c:44596
runtime/metal	DS4_METAL_ENABLE_HC_NORM_MIX_FUSE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables HC norm mix fuse.	ds4.c:22885
runtime/metal	DS4_METAL_ENABLE_HC_PRODUCER_PRE_NORM_FUSE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables HC producer pre norm fuse.	ds4_metal.m:46552
runtime/metal	DS4_METAL_ENABLE_IQ2_SELECTED_ASYNC_EARLY_COMMIT	presence opt-in; unset: off/automatic; any value including 0 enables	Enables IQ2 selected async early commit.	ds4.c:21033
runtime/metal	DS4_METAL_ENABLE_IQ2_XXS_SSD_PREFILL_MM	value-aware boolean; default automatic/on for eligible shape; explicit 0 turns request off unless REQUIRE=1	Overrides automatic IQ2_XXS/Q2_K grouped address-MM selection for SSD prefill.	ds4_metal.m:44780
runtime/metal	DS4_METAL_ENABLE_PRO_Q4_EXPERT_ADDRESS_AUTO	presence opt-in; unset: off/automatic; any value including 0 enables	Enables pro Q4 expert address auto.	ds4.c:20997
runtime/metal	DS4_METAL_ENABLE_PRO_Q4_EXPERT_TABLE_AUTO	presence opt-in; unset: off/automatic; any value including 0 enables	Enables pro Q4 expert table auto.	ds4.c:20996
runtime/metal	DS4_METAL_ENABLE_PRO_Q4_SELECTED_EXPERT_VIEWS	presence opt-in; unset: off/automatic; any value including 0 enables	Enables pro Q4 selected expert views.	ds4.c:20993
runtime/metal	DS4_METAL_ENABLE_Q4_ATTN_OUT_TINY_BATCH	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Enables Q4 attn out tiny batch.	ds4_metal.m:28405
runtime/metal	DS4_METAL_ENABLE_Q4_BATCH_EXPERT_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 batch expert table.	ds4_metal.m:44869
runtime/metal	DS4_METAL_ENABLE_Q4_EXACT_TENSOR_ID	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 exact tensor ID.	ds4_metal.m:42218
runtime/metal	DS4_METAL_ENABLE_Q4_EXPERT_ADDRESS_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 expert address table.	ds4.c:20995
runtime/metal	DS4_METAL_ENABLE_Q4_EXPERT_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 expert table.	ds4.c:20994
runtime/metal	DS4_METAL_ENABLE_Q4_GATHER_SLOTS	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 gather slots.	ds4_metal.m:42320
runtime/metal	DS4_METAL_ENABLE_Q4_GROUP24_EXPERT_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 group24 expert table.	ds4_metal.m:42200
runtime/metal	DS4_METAL_ENABLE_Q4_GROUP6_EXPERT_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 group6 expert table.	ds4_metal.m:42166
runtime/metal	DS4_METAL_ENABLE_Q4_GROUP8_EXPERT_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 group8 expert table.	ds4_metal.m:42183
runtime/metal	DS4_METAL_ENABLE_Q4_GROUPED_EXPERTS	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 grouped experts.	ds4_metal.m:42129
runtime/metal	DS4_METAL_ENABLE_Q4_QKV_COMPRESSOR_FUSE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 QKV compressor fuse.	ds4.c:23155
runtime/metal	DS4_METAL_ENABLE_Q4_SELECTED_EXPERT_VIEWS	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q4 selected expert views.	ds4.c:20992
runtime/metal	DS4_METAL_ENABLE_Q4_SSD_PREFILL_ATTN_OUT_EXACTN	value-aware boolean; unset: off; empty/1/true/yes/on enables; 0/false/no/off disables	Enables Q4 SSD prefill attn out exactn.	ds4_metal.m:28097
runtime/metal	DS4_METAL_ENABLE_Q4_SSD_SESSION_UNION	nonempty boolean; unset/empty or exact 0: off; every other value: on	Enables Q4 SSD session union.	ds4.c:65454
runtime/metal	DS4_METAL_ENABLE_Q4_STREAM_OVERLAP	nonempty boolean; unset/empty or exact 0: off; every other value: on	Enables Q4 stream overlap.	ds4.c:65363
runtime/metal	DS4_METAL_ENABLE_Q8_DECODE_EXACT_VIEWS	presence opt-in; unset: off/automatic; any value including 0 enables	Enables Q8 decode exact views.	ds4_metal.m:12865
runtime/metal	DS4_METAL_ENABLE_Q8_QKV_COMPRESSOR_FUSE	nonempty boolean; unset/empty/exact 0: no streamed/union opt-in; other values enable; eligible resident full-decode remains automatic	Extends the automatic resident Q8 QKV/compressor compound fusion to SSD streaming or exact-N union scope.	ds4.c:23042
runtime/metal	DS4_METAL_ENABLE_STREAMING_COMPACT_ADDR	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming compact address.	ds4_metal.m:14597
runtime/metal	DS4_METAL_ENABLE_STREAMING_EXPERT_ADDR_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming expert address table.	ds4_metal.m:14604
runtime/metal	DS4_METAL_ENABLE_STREAMING_EXPERT_EVICT_DONTNEED	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming expert evict dontneed.	ds4_metal.m:14394
runtime/metal	DS4_METAL_ENABLE_STREAMING_EXPERT_HIT_VALIDATOR	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming expert hit validator.	ds4_metal.m:14605
runtime/metal	DS4_METAL_ENABLE_STREAMING_EXPERT_LIVE_INDEX	value-aware boolean; default automatic/on for validated IQ2 cache shape; explicit 0 disables	Overrides automatic dense live-entry index selection.	ds4_metal.m:15442
runtime/metal	DS4_METAL_ENABLE_STREAMING_EXPERT_MASKED_ADDR	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming expert masked address.	ds4_metal.m:14606
runtime/metal	DS4_METAL_ENABLE_STREAMING_FULL_EXPERT_ADDR_TABLE	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming full expert address table.	ds4_metal.m:14715
runtime/metal	DS4_METAL_ENABLE_STREAMING_IQ2_CPU_ROUTER	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming IQ2 CPU router.	ds4.c:20953
runtime/metal	DS4_METAL_ENABLE_STREAMING_MADVISE_WILLNEED	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming madvise willneed.	ds4.c:18225
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_BATCH_SELECTED_ADDR	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill batch selected address.	ds4_metal.m:14609
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_CACHE_SEED	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill cache seed.	ds4.c:21274
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_EXPERT_READAHEAD	value-aware boolean; for batches <32 readahead is automatic; for batches >=32 unset/false disables and true enables; global READHEAD rollback and F_NOCACHE still dominate	Restores F_RDADVISE immediately before parallel pread for large SSD-prefill batches.	ds4_metal.m:13212
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_LAYER_PAGEIN	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill layer pagein.	ds4.c:18447
runtime/metal	DS4_METAL_ENABLE_STREAMING_PREFILL_LAYER_READAHEAD	presence opt-in; unset: off/automatic; any value including 0 enables	Enables streaming prefill layer readahead.	ds4.c:18457
